crim,zn,river,rm,ptratio,medv
0.00632,18,0,6.575,15.3,24
0.02731,0,0,6.421,17.8,21.6
0.02729,0,0,7.185,17.8,34.7
0.03237,0,0,6.998,18.7,33.4
0.06905,0,0,7.147,18.7,36.2
0.02985,0,0,6.43,18.7,28.7
0.08829,12.5,0,6.012,15.2,22.9
0.14455,12.5,0,6.172,15.2,27.1
0.21124,12.5,0,5.631,15.2,16.5
0.17004,12.5,0,6.004,15.2,18.9
0.22489,12.5,0,6.377,15.2,15
0.11747,12.5,0,6.009,15.2,18.9
0.09378,12.5,0,5.889,15.2,21.7
0.62976,0,0,5.949,21,20.4
0.63796,0,0,6.096,21,18.2
0.62739,0,0,5.834,21,19.9
1.05393,0,0,5.935,21,23.1
0.7842,0,0,5.99,21,17.5
0.80271,0,0,5.456,21,20.2
0.7258,0,0,5.727,21,18.2
1.25179,0,0,5.57,21,13.6
0.85204,0,0,5.965,21,19.6
1.23247,0,0,6.142,21,15.2
0.98843,0,0,5.813,21,14.5
0.75026,0,0,5.924,21,15.6
0.84054,0,0,5.599,21,13.9
0.67191,0,0,5.813,21,16.6
0.95577,0,0,6.047,21,14.8
0.77299,0,0,6.495,21,18.4
1.00245,0,0,6.674,21,21
1.13081,0,0,5.713,21,12.7
1.35472,0,0,6.072,21,14.5
1.38799,0,0,5.95,21,13.2
1.15172,0,0,5.701,21,13.1
1.61282,0,0,6.096,21,13.5
0.06417,0,0,5.933,19.2,18.9
0.09744,0,0,5.841,19.2,20
0.08014,0,0,5.85,19.2,21
0.17505,0,0,5.966,19.2,24.7
0.02763,75,0,6.595,18.3,30.8
0.03359,75,0,7.024,18.3,34.9
0.12744,0,0,6.77,17.9,26.6
0.1415,0,0,6.169,17.9,25.3
0.15936,0,0,6.211,17.9,24.7
0.12269,0,0,6.069,17.9,21.2
0.17142,0,0,5.682,17.9,19.3
0.18836,0,0,5.786,17.9,20
0.22927,0,0,6.03,17.9,16.6
0.25387,0,0,5.399,17.9,14.4
0.21977,0,0,5.602,17.9,19.4
0.08873,21,0,5.963,16.8,19.7
0.04337,21,0,6.115,16.8,20.5
0.0536,21,0,6.511,16.8,25
0.04981,21,0,5.998,16.8,23.4
0.0136,75,0,5.888,21.1,18.9
0.01311,90,0,7.249,17.9,35.4
0.02055,85,0,6.383,17.3,24.7
0.01432,100,0,6.816,15.1,31.6
0.15445,25,0,6.145,19.7,23.3
0.10328,25,0,5.927,19.7,19.6
0.14932,25,0,5.741,19.7,18.7
0.17171,25,0,5.966,19.7,16
0.11027,25,0,6.456,19.7,22.2
0.1265,25,0,6.762,19.7,25
0.01951,17.5,0,7.104,18.6,33
0.03584,80,0,6.29,16.1,23.5
0.04379,80,0,5.787,16.1,19.4
0.05789,12.5,0,5.878,18.9,22
0.13554,12.5,0,5.594,18.9,17.4
0.12816,12.5,0,5.885,18.9,20.9
0.08826,0,0,6.417,19.2,24.2
0.15876,0,0,5.961,19.2,21.7
0.09164,0,0,6.065,19.2,22.8
0.19539,0,0,6.245,19.2,23.4
0.07896,0,0,6.273,18.7,24.1
0.09512,0,0,6.286,18.7,21.4
0.10153,0,0,6.279,18.7,20
0.08707,0,0,6.14,18.7,20.8
0.05646,0,0,6.232,18.7,21.2
0.08387,0,0,5.874,18.7,20.3
0.04113,25,0,6.727,19,28
0.04462,25,0,6.619,19,23.9
0.03659,25,0,6.302,19,24.8
0.03551,25,0,6.167,19,22.9
0.05059,0,0,6.389,18.5,23.9
0.05735,0,0,6.63,18.5,26.6
0.05188,0,0,6.015,18.5,22.5
0.07151,0,0,6.121,18.5,22.2
0.0566,0,0,7.007,17.8,23.6
0.05302,0,0,7.079,17.8,28.7
0.04684,0,0,6.417,17.8,22.6
0.03932,0,0,6.405,17.8,22
0.04203,28,0,6.442,18.2,22.9
0.02875,28,0,6.211,18.2,25
0.04294,28,0,6.249,18.2,20.6
0.12204,0,0,6.625,18,28.4
0.11504,0,0,6.163,18,21.4
0.12083,0,0,8.069,18,38.7
0.08187,0,0,7.82,18,43.8
0.0686,0,0,7.416,18,33.2
0.14866,0,0,6.727,20.9,27.5
0.11432,0,0,6.781,20.9,26.5
0.22876,0,0,6.405,20.9,18.6
0.21161,0,0,6.137,20.9,19.3
0.1396,0,0,6.167,20.9,20.1
0.13262,0,0,5.851,20.9,19.5
0.1712,0,0,5.836,20.9,19.5
0.13117,0,0,6.127,20.9,20.4
0.12802,0,0,6.474,20.9,19.8
0.26363,0,0,6.229,20.9,19.4
0.10793,0,0,6.195,20.9,21.7
0.10084,0,0,6.715,17.8,22.8
0.12329,0,0,5.913,17.8,18.8
0.22212,0,0,6.092,17.8,18.7
0.14231,0,0,6.254,17.8,18.5
0.17134,0,0,5.928,17.8,18.3
0.13158,0,0,6.176,17.8,21.2
0.15098,0,0,6.021,17.8,19.2
0.13058,0,0,5.872,17.8,20.4
0.14476,0,0,5.731,17.8,19.3
0.06899,0,0,5.87,19.1,22
0.07165,0,0,6.004,19.1,20.3
0.09299,0,0,5.961,19.1,20.5
0.15038,0,0,5.856,19.1,17.3
0.09849,0,0,5.879,19.1,18.8
0.16902,0,0,5.986,19.1,21.4
0.38735,0,0,5.613,19.1,15.7
0.25915,0,0,5.693,21.2,16.2
0.32543,0,0,6.431,21.2,18
0.88125,0,0,5.637,21.2,14.3
0.34006,0,0,6.458,21.2,19.2
1.19294,0,0,6.326,21.2,19.6
0.59005,0,0,6.372,21.2,23
0.32982,0,0,5.822,21.2,18.4
0.97617,0,0,5.757,21.2,15.6
0.55778,0,0,6.335,21.2,18.1
0.32264,0,0,5.942,21.2,17.4
0.35233,0,0,6.454,21.2,17.1
0.2498,0,0,5.857,21.2,13.3
0.54452,0,0,6.151,21.2,17.8
0.2909,0,0,6.174,21.2,14
1.62864,0,0,5.019,21.2,14.4
3.32105,0,1,5.403,14.7,13.4
4.0974,0,0,5.468,14.7,15.6
2.77974,0,0,4.903,14.7,11.8
2.37934,0,0,6.13,14.7,13.8
2.15505,0,0,5.628,14.7,15.6
2.36862,0,0,4.926,14.7,14.6
2.33099,0,0,5.186,14.7,17.8
2.73397,0,0,5.597,14.7,15.4
1.6566,0,0,6.122,14.7,21.5
1.49632,0,0,5.404,14.7,19.6
1.12658,0,1,5.012,14.7,15.3
2.14918,0,0,5.709,14.7,19.4
1.41385,0,1,6.129,14.7,17
3.53501,0,1,6.152,14.7,15.6
2.44668,0,0,5.272,14.7,13.1
1.22358,0,0,6.943,14.7,41.3
1.34284,0,0,6.066,14.7,24.3
1.42502,0,0,6.51,14.7,23.3
1.27346,0,1,6.25,14.7,27
1.46336,0,0,7.489,14.7,50
1.83377,0,1,7.802,14.7,50
1.51902,0,1,8.375,14.7,50
2.24236,0,0,5.854,14.7,22.7
2.924,0,0,6.101,14.7,25
2.01019,0,0,7.929,14.7,50
1.80028,0,0,5.877,14.7,23.8
2.3004,0,0,6.319,14.7,23.8
2.44953,0,0,6.402,14.7,22.3
1.20742,0,0,5.875,14.7,17.4
2.3139,0,0,5.88,14.7,19.1
0.13914,0,0,5.572,16.6,23.1
0.09178,0,0,6.416,16.6,23.6
0.08447,0,0,5.859,16.6,22.6
0.06664,0,0,6.546,16.6,29.4
0.07022,0,0,6.02,16.6,23.2
0.05425,0,0,6.315,16.6,24.6
0.06642,0,0,6.86,16.6,29.9
0.0578,0,0,6.98,17.8,37.2
0.06588,0,0,7.765,17.8,39.8
0.06888,0,0,6.144,17.8,36.2
0.09103,0,0,7.155,17.8,37.9
0.10008,0,0,6.563,17.8,32.5
0.08308,0,0,5.604,17.8,26.4
0.06047,0,0,6.153,17.8,29.6
0.05602,0,0,7.831,17.8,50
0.07875,45,0,6.782,15.2,32
0.12579,45,0,6.556,15.2,29.8
0.0837,45,0,7.185,15.2,34.9
0.09068,45,0,6.951,15.2,37
0.06911,45,0,6.739,15.2,30.5
0.08664,45,0,7.178,15.2,36.4
0.02187,60,0,6.8,15.6,31.1
0.01439,60,0,6.604,15.6,29.1
0.01381,80,0,7.875,14.4,50
0.04011,80,0,7.287,12.6,33.3
0.04666,80,0,7.107,12.6,30.3
0.03768,80,0,7.274,12.6,34.6
0.0315,95,0,6.975,17,34.9
0.01778,95,0,7.135,17,32.9
0.03445,82.5,0,6.162,14.7,24.1
0.02177,82.5,0,7.61,14.7,42.3
0.0351,95,0,7.853,14.7,48.5
0.02009,95,0,8.034,14.7,50
0.13642,0,0,5.891,18.6,22.6
0.22969,0,0,6.326,18.6,24.4
0.25199,0,0,5.783,18.6,22.5
0.13587,0,1,6.064,18.6,24.4
0.43571,0,1,5.344,18.6,20
0.17446,0,1,5.96,18.6,21.7
0.37578,0,1,5.404,18.6,19.3
0.21719,0,1,5.807,18.6,22.4
0.14052,0,0,6.375,18.6,28.1
0.28955,0,0,5.412,18.6,23.7
0.19802,0,0,6.182,18.6,25
0.0456,0,1,5.888,16.4,23.3
0.07013,0,0,6.642,16.4,28.7
0.11069,0,1,5.951,16.4,21.5
0.11425,0,1,6.373,16.4,23
0.35809,0,1,6.951,17.4,26.7
0.40771,0,1,6.164,17.4,21.7
0.62356,0,1,6.879,17.4,27.5
0.6147,0,0,6.618,17.4,30.1
0.31533,0,0,8.266,17.4,44.8
0.52693,0,0,8.725,17.4,50
0.38214,0,0,8.04,17.4,37.6
0.41238,0,0,7.163,17.4,31.6
0.29819,0,0,7.686,17.4,46.7
0.44178,0,0,6.552,17.4,31.5
0.537,0,0,5.981,17.4,24.3
0.46296,0,0,7.412,17.4,31.7
0.57529,0,0,8.337,17.4,41.7
0.33147,0,0,8.247,17.4,48.3
0.44791,0,1,6.726,17.4,29
0.33045,0,0,6.086,17.4,24
0.52058,0,1,6.631,17.4,25.1
0.51183,0,0,7.358,17.4,31.5
0.08244,30,0,6.481,16.6,23.7
0.09252,30,0,6.606,16.6,23.3
0.11329,30,0,6.897,16.6,22
0.10612,30,0,6.095,16.6,20.1
0.1029,30,0,6.358,16.6,22.2
0.12757,30,0,6.393,16.6,23.7
0.20608,22,0,5.593,19.1,17.6
0.19133,22,0,5.605,19.1,18.5
0.33983,22,0,6.108,19.1,24.3
0.19657,22,0,6.226,19.1,20.5
0.16439,22,0,6.433,19.1,24.5
0.19073,22,0,6.718,19.1,26.2
0.1403,22,0,6.487,19.1,24.4
0.21409,22,0,6.438,19.1,24.8
0.08221,22,0,6.957,19.1,29.6
0.36894,22,0,8.259,19.1,42.8
0.04819,80,0,6.108,16.4,21.9
0.03548,80,0,5.876,16.4,20.9
0.01538,90,0,7.454,15.9,44
0.61154,20,0,8.704,13,50
0.66351,20,0,7.333,13,36
0.65665,20,0,6.842,13,30.1
0.54011,20,0,7.203,13,33.8
0.53412,20,0,7.52,13,43.1
0.52014,20,0,8.398,13,48.8
0.82526,20,0,7.327,13,31
0.55007,20,0,7.206,13,36.5
0.76162,20,0,5.56,13,22.8
0.7857,20,0,7.014,13,30.7
0.57834,20,0,8.297,13,50
0.5405,20,0,7.47,13,43.5
0.09065,20,1,5.92,18.6,20.7
0.29916,20,0,5.856,18.6,21.1
0.16211,20,0,6.24,18.6,25.2
0.1146,20,0,6.538,18.6,24.4
0.22188,20,1,7.691,18.6,35.2
0.05644,40,1,6.758,17.6,32.4
0.09604,40,0,6.854,17.6,32
0.10469,40,1,7.267,17.6,33.2
0.06127,40,1,6.826,17.6,33.1
0.07978,40,0,6.482,17.6,29.1
0.21038,20,0,6.812,14.9,35.1
0.03578,20,0,7.82,14.9,45.4
0.03705,20,0,6.968,14.9,35.4
0.06129,20,1,7.645,14.9,46
0.01501,90,1,7.923,13.6,50
0.00906,90,0,7.088,15.3,32.2
0.01096,55,0,6.453,15.3,22
0.01965,80,0,6.23,18.2,20.1
0.03871,52.5,0,6.209,16.6,23.2
0.0459,52.5,0,6.315,16.6,22.3
0.04297,52.5,0,6.565,16.6,24.8
0.03502,80,0,6.861,19.2,28.5
0.07886,80,0,7.148,19.2,37.3
0.03615,80,0,6.63,19.2,27.9
0.08265,0,0,6.127,16,23.9
0.08199,0,0,6.009,16,21.7
0.12932,0,0,6.678,16,28.6
0.05372,0,0,6.549,16,27.1
0.14103,0,0,5.79,16,20.3
0.06466,70,0,6.345,14.8,22.5
0.05561,70,0,7.041,14.8,29
0.04417,70,0,6.871,14.8,24.8
0.03537,34,0,6.59,16.1,22
0.09266,34,0,6.495,16.1,26.4
0.1,34,0,6.982,16.1,33.1
0.05515,33,0,7.236,18.4,36.1
0.05479,33,0,6.616,18.4,28.4
0.07503,33,0,7.42,18.4,33.4
0.04932,33,0,6.849,18.4,28.2
0.49298,0,0,6.635,18.4,22.8
0.3494,0,0,5.972,18.4,20.3
2.63548,0,0,4.973,18.4,16.1
0.79041,0,0,6.122,18.4,22.1
0.26169,0,0,6.023,18.4,19.4
0.26938,0,0,6.266,18.4,21.6
0.3692,0,0,6.567,18.4,23.8
0.25356,0,0,5.705,18.4,16.2
0.31827,0,0,5.914,18.4,17.8
0.24522,0,0,5.782,18.4,19.8
0.40202,0,0,6.382,18.4,23.1
0.47547,0,0,6.113,18.4,21
0.1676,0,0,6.426,19.6,23.8
0.18159,0,0,6.376,19.6,23.1
0.35114,0,0,6.041,19.6,20.4
0.28392,0,0,5.708,19.6,18.5
0.34109,0,0,6.415,19.6,25
0.19186,0,0,6.431,19.6,24.6
0.30347,0,0,6.312,19.6,23
0.24103,0,0,6.083,19.6,22.2
0.06617,0,0,5.868,16.9,19.3
0.06724,0,0,6.333,16.9,22.6
0.04544,0,0,6.144,16.9,19.8
0.05023,35,0,5.706,16.9,17.1
0.03466,35,0,6.031,16.9,19.4
0.05083,0,0,6.316,20.2,22.2
0.03738,0,0,6.31,20.2,20.7
0.03961,0,0,6.037,20.2,21.1
0.03427,0,0,5.869,20.2,19.5
0.03041,0,0,5.895,20.2,18.5
0.03306,0,0,6.059,20.2,20.6
0.05497,0,0,5.985,20.2,19
0.06151,0,0,5.968,20.2,18.7
0.01301,35,0,7.241,15.5,32.7
0.02498,0,0,6.54,15.9,16.5
0.02543,55,0,6.696,17.6,23.9
0.03049,55,0,6.874,17.6,31.2
0.03113,0,0,6.014,18.8,17.5
0.06162,0,0,5.898,18.8,17.2
0.0187,85,0,6.516,17.9,23.1
0.01501,80,0,6.635,17,24.5
0.02899,40,0,6.939,19.7,26.6
0.06211,40,0,6.49,19.7,22.9
0.0795,60,0,6.579,18.3,24.1
0.07244,60,0,5.884,18.3,18.6
0.01709,90,0,6.728,17,30.1
0.04301,80,0,5.663,22,18.2
0.10659,80,0,5.936,22,20.6
8.98296,0,1,6.212,20.2,17.8
3.8497,0,1,6.395,20.2,21.7
5.20177,0,1,6.127,20.2,22.7
4.26131,0,0,6.112,20.2,22.6
4.54192,0,0,6.398,20.2,25
3.83684,0,0,6.251,20.2,19.9
3.67822,0,0,5.362,20.2,20.8
4.22239,0,1,5.803,20.2,16.8
3.47428,0,1,8.78,20.2,21.9
4.55587,0,0,3.561,20.2,27.5
3.69695,0,0,4.963,20.2,21.9
13.5222,0,0,3.863,20.2,23.1
4.89822,0,0,4.97,20.2,50
5.66998,0,1,6.683,20.2,50
6.53876,0,1,7.016,20.2,50
9.2323,0,0,6.216,20.2,50
8.26725,0,1,5.875,20.2,50
11.1081,0,0,4.906,20.2,13.8
18.4982,0,0,4.138,20.2,13.8
19.6091,0,0,7.313,20.2,15
15.288,0,0,6.649,20.2,13.9
9.82349,0,0,6.794,20.2,13.3
23.6482,0,0,6.38,20.2,13.1
17.8667,0,0,6.223,20.2,10.2
88.9762,0,0,6.968,20.2,10.4
15.8744,0,0,6.545,20.2,10.9
9.18702,0,0,5.536,20.2,11.3
7.99248,0,0,5.52,20.2,12.3
20.0849,0,0,4.368,20.2,8.8
16.8118,0,0,5.277,20.2,7.2
24.3938,0,0,4.652,20.2,10.5
22.5971,0,0,5,20.2,7.4
14.3337,0,0,4.88,20.2,10.2
8.15174,0,0,5.39,20.2,11.5
6.96215,0,0,5.713,20.2,15.1
5.29305,0,0,6.051,20.2,23.2
11.5779,0,0,5.036,20.2,9.7
8.64476,0,0,6.193,20.2,13.8
13.3598,0,0,5.887,20.2,12.7
8.71675,0,0,6.471,20.2,13.1
5.87205,0,0,6.405,20.2,12.5
7.67202,0,0,5.747,20.2,8.5
38.3518,0,0,5.453,20.2,5
9.91655,0,0,5.852,20.2,6.3
25.0461,0,0,5.987,20.2,5.6
14.2362,0,0,6.343,20.2,7.2
9.59571,0,0,6.404,20.2,12.1
24.8017,0,0,5.349,20.2,8.3
41.5292,0,0,5.531,20.2,8.5
67.9208,0,0,5.683,20.2,5
20.7162,0,0,4.138,20.2,11.9
11.9511,0,0,5.608,20.2,27.9
7.40389,0,0,5.617,20.2,17.2
14.4383,0,0,6.852,20.2,27.5
51.1358,0,0,5.757,20.2,15
14.0507,0,0,6.657,20.2,17.2
18.811,0,0,4.628,20.2,17.9
28.6558,0,0,5.155,20.2,16.3
45.7461,0,0,4.519,20.2,7
18.0846,0,0,6.434,20.2,7.2
10.8342,0,0,6.782,20.2,7.5
25.9406,0,0,5.304,20.2,10.4
73.5341,0,0,5.957,20.2,8.8
11.8123,0,0,6.824,20.2,8.4
11.0874,0,0,6.411,20.2,16.7
7.02259,0,0,6.006,20.2,14.2
12.0482,0,0,5.648,20.2,20.8
7.05042,0,0,6.103,20.2,13.4
8.79212,0,0,5.565,20.2,11.7
15.8603,0,0,5.896,20.2,8.3
12.2472,0,0,5.837,20.2,10.2
37.6619,0,0,6.202,20.2,10.9
7.36711,0,0,6.193,20.2,11
9.33889,0,0,6.38,20.2,9.5
8.49213,0,0,6.348,20.2,14.5
10.0623,0,0,6.833,20.2,14.1
6.44405,0,0,6.425,20.2,16.1
5.58107,0,0,6.436,20.2,14.3
13.9134,0,0,6.208,20.2,11.7
11.1604,0,0,6.629,20.2,13.4
14.4208,0,0,6.461,20.2,9.6
15.1772,0,0,6.152,20.2,8.7
13.6781,0,0,5.935,20.2,8.4
9.39063,0,0,5.627,20.2,12.8
22.0511,0,0,5.818,20.2,10.5
9.72418,0,0,6.406,20.2,17.1
5.66637,0,0,6.219,20.2,18.4
9.96654,0,0,6.485,20.2,15.4
12.8023,0,0,5.854,20.2,10.8
10.6718,0,0,6.459,20.2,11.8
6.28807,0,0,6.341,20.2,14.9
9.92485,0,0,6.251,20.2,12.6
9.32909,0,0,6.185,20.2,14.1
7.52601,0,0,6.417,20.2,13
6.71772,0,0,6.749,20.2,13.4
5.44114,0,0,6.655,20.2,15.2
5.09017,0,0,6.297,20.2,16.1
8.24809,0,0,7.393,20.2,17.8
9.51363,0,0,6.728,20.2,14.9
4.75237,0,0,6.525,20.2,14.1
4.66883,0,0,5.976,20.2,12.7
8.20058,0,0,5.936,20.2,13.5
7.75223,0,0,6.301,20.2,14.9
6.80117,0,0,6.081,20.2,20
4.81213,0,0,6.701,20.2,16.4
3.69311,0,0,6.376,20.2,17.7
6.65492,0,0,6.317,20.2,19.5
5.82115,0,0,6.513,20.2,20.2
7.83932,0,0,6.209,20.2,21.4
3.1636,0,0,5.759,20.2,19.9
3.77498,0,0,5.952,20.2,19
4.42228,0,0,6.003,20.2,19.1
15.5757,0,0,5.926,20.2,19.1
13.0751,0,0,5.713,20.2,20.1
4.34879,0,0,6.167,20.2,19.9
4.03841,0,0,6.229,20.2,19.6
3.56868,0,0,6.437,20.2,23.2
4.64689,0,0,6.98,20.2,29.8
8.05579,0,0,5.427,20.2,13.8
6.39312,0,0,6.162,20.2,13.3
4.87141,0,0,6.484,20.2,16.7
15.0234,0,0,5.304,20.2,12
10.233,0,0,6.185,20.2,14.6
14.3337,0,0,6.229,20.2,21.4
5.82401,0,0,6.242,20.2,23
5.70818,0,0,6.75,20.2,23.7
5.73116,0,0,7.061,20.2,25
2.81838,0,0,5.762,20.2,21.8
2.37857,0,0,5.871,20.2,20.6
3.67367,0,0,6.312,20.2,21.2
5.69175,0,0,6.114,20.2,19.1
4.83567,0,0,5.905,20.2,20.6
0.15086,0,0,5.454,20.1,15.2
0.18337,0,0,5.414,20.1,7
0.20746,0,0,5.093,20.1,8.1
0.10574,0,0,5.983,20.1,13.6
0.11132,0,0,5.983,20.1,20.1
0.17331,0,0,5.707,19.2,21.8
0.27957,0,0,5.926,19.2,24.5
0.17899,0,0,5.67,19.2,23.1
0.2896,0,0,5.39,19.2,19.7
0.26838,0,0,5.794,19.2,18.3
0.23912,0,0,6.019,19.2,21.2
0.17783,0,0,5.569,19.2,17.5
0.22438,0,0,6.027,19.2,16.8
0.06263,0,0,6.593,21,22.4
0.04527,0,0,6.12,21,20.6
0.06076,0,0,6.976,21,23.9
0.10959,0,0,6.794,21,22
0.04741,0,0,6.03,21,11.9